,start,end,demand_threshold
20,2016-01-01 20:00:00,2016-01-02 08:00:00,46149.0
33,2016-01-02 09:00:00,2016-01-02 21:00:00,44593.0
46,2016-01-02 22:00:00,2016-01-03 10:00:00,43312.0
67,2016-01-03 19:00:00,2016-01-04 07:00:00,52875.0
91,2016-01-04 19:00:00,2016-01-05 07:00:00,70584.0
103,2016-01-05 07:00:00,2016-01-05 19:00:00,73327.0
114,2016-01-05 18:00:00,2016-01-06 06:00:00,71245.0
125,2016-01-06 05:00:00,2016-01-06 17:00:00,64671.0
139,2016-01-06 19:00:00,2016-01-07 07:00:00,64713.0
164,2016-01-07 20:00:00,2016-01-08 08:00:00,57993.0
190,2016-01-08 22:00:00,2016-01-09 10:00:00,45599.0
214,2016-01-09 22:00:00,2016-01-10 10:00:00,40910.0
236,2016-01-10 20:00:00,2016-01-11 08:00:00,55062.0
248,2016-01-11 08:00:00,2016-01-11 20:00:00,66172.0
259,2016-01-11 19:00:00,2016-01-12 07:00:00,65765.0
272,2016-01-12 08:00:00,2016-01-12 20:00:00,63895.0
284,2016-01-12 20:00:00,2016-01-13 08:00:00,66986.0
295,2016-01-13 07:00:00,2016-01-13 19:00:00,72285.0
310,2016-01-13 22:00:00,2016-01-14 10:00:00,60915.0
318,2016-01-14 06:00:00,2016-01-14 18:00:00,59206.0
331,2016-01-14 19:00:00,2016-01-15 07:00:00,56896.0
358,2016-01-15 22:00:00,2016-01-16 10:00:00,46151.0
380,2016-01-16 20:00:00,2016-01-17 08:00:00,50035.0
404,2016-01-17 20:00:00,2016-01-18 08:00:00,62003.0
427,2016-01-18 19:00:00,2016-01-19 07:00:00,81601.0
439,2016-01-19 07:00:00,2016-01-19 19:00:00,84153.0
451,2016-01-19 19:00:00,2016-01-20 07:00:00,82069.0
463,2016-01-20 07:00:00,2016-01-20 19:00:00,82352.0
476,2016-01-20 20:00:00,2016-01-21 08:00:00,75676.0
488,2016-01-21 08:00:00,2016-01-21 20:00:00,74335.0
500,2016-01-21 20:00:00,2016-01-22 08:00:00,75928.0
526,2016-01-22 22:00:00,2016-01-23 10:00:00,67808.0
549,2016-01-23 21:00:00,2016-01-24 09:00:00,66853.0
561,2016-01-24 09:00:00,2016-01-24 21:00:00,63728.0
570,2016-01-24 18:00:00,2016-01-25 06:00:00,67864.0
582,2016-01-25 06:00:00,2016-01-25 18:00:00,69310.0
597,2016-01-25 21:00:00,2016-01-26 09:00:00,61157.0
608,2016-01-26 08:00:00,2016-01-26 20:00:00,60304.0
619,2016-01-26 19:00:00,2016-01-27 07:00:00,62134.0
632,2016-01-27 08:00:00,2016-01-27 20:00:00,64267.0
644,2016-01-27 20:00:00,2016-01-28 08:00:00,66572.0
656,2016-01-28 08:00:00,2016-01-28 20:00:00,64911.0
668,2016-01-28 20:00:00,2016-01-29 08:00:00,62175.0
680,2016-01-29 08:00:00,2016-01-29 20:00:00,63948.0
694,2016-01-29 22:00:00,2016-01-30 10:00:00,56595.0
702,2016-01-30 06:00:00,2016-01-30 18:00:00,54239.0
719,2016-01-30 23:00:00,2016-01-31 11:00:00,42457.0
728,2016-01-31 08:00:00,2016-01-31 20:00:00,43327.0
738,2016-01-31 18:00:00,2016-02-01 06:00:00,46139.0
751,2016-02-01 07:00:00,2016-02-01 19:00:00,54366.0
763,2016-02-01 19:00:00,2016-02-02 07:00:00,57972.0
776,2016-02-02 08:00:00,2016-02-02 20:00:00,54358.0
787,2016-02-02 19:00:00,2016-02-03 07:00:00,52936.0
801,2016-02-03 09:00:00,2016-02-03 21:00:00,50772.0
811,2016-02-03 19:00:00,2016-02-04 07:00:00,52581.0
836,2016-02-04 20:00:00,2016-02-05 08:00:00,60691.0
849,2016-02-05 09:00:00,2016-02-05 21:00:00,62411.0
863,2016-02-05 23:00:00,2016-02-06 11:00:00,51683.0
872,2016-02-06 08:00:00,2016-02-06 20:00:00,56378.0
885,2016-02-06 21:00:00,2016-02-07 09:00:00,53624.0
897,2016-02-07 09:00:00,2016-02-07 21:00:00,51665.0
906,2016-02-07 18:00:00,2016-02-08 06:00:00,51507.0
919,2016-02-08 07:00:00,2016-02-08 19:00:00,59366.0
931,2016-02-08 19:00:00,2016-02-09 07:00:00,64675.0
955,2016-02-09 19:00:00,2016-02-10 07:00:00,70709.0
968,2016-02-10 08:00:00,2016-02-10 20:00:00,71448.0
979,2016-02-10 19:00:00,2016-02-11 07:00:00,74227.0
991,2016-02-11 07:00:00,2016-02-11 19:00:00,76842.0
